id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-01-08T21:40:17;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-09T06:02:24;64379;Australia 1080p Intranet;1
2;2020-01-08T18:54:33;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-01-08T22:50:14;8068;Baby;2
3;2020-01-09T04:36:21;monitor;CANCELLED;CREDIT_CARD;2020-01-08T20:27:43;97394;Rubber synergy program;3
4;2020-01-08T17:10:23;EXE parse strategic;CANCELLED;PAYPAL;2020-01-08T21:15:33;2286;HTTP;4
5;2020-01-08T13:25:34;black Awesome;PAID;CASH_ON_DELIVERY;2020-01-08T13:27:28;49531;Agent SDD auxiliary;5
6;2020-01-08T23:58:08;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-01-08T15:50:18;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-01-09T02:31:44;back up Toys;ISSUED;PAYPAL;2020-01-09T05:27:23;10756;Arizona Awesome Fresh Soap system;7
8;2020-01-08T23:03:54;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-01-08T22:52:57;50263;deploy;8
9;2020-01-08T16:53:52;Credit Card Account;CANCELLED;CREDIT_CARD;2020-01-09T03:17:01;308;payment Fantastic Fresh Soap;9
10;2020-01-09T03:18:15;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-01-09T07:04:04;94911;Granite Rubber Pizza;10
